公司名称,流动比率,资产负债率,应收账款周转率,总资产周转率,净资产收益率,资产报酬率,净利润增长率,总资产增长率
金马集团,0.719868,0.714885,4.936973,0.757583,0.041259,0.033715,-0.782861,0.097615
盛达矿业,1.673642,0.526224,0.706984,0.098114,-0.044617,-0.013498,52.271712,-0.021706
渤海股份,0.378818,0.501994,4.225395,0.279889,-0.394183,-0.169783,-56.661511,-0.575423
*ST 明胶,1.440515,0.442308,4.015034,0.552281,0.02459,0.027631,-2.17429,0.07595
华媒控股,0.980238,0.683638,4.126078,1.032265,0.026998,0.04285,0.854317,-0.093457
阳光股份,1.598238,0.634051,160.905729,0.266217,0.038036,0.019341,-3.681167,0.040657
绵世股份,3.923724,0.213445,3.848185,0.63136,0.169729,0.129705,1.068545,-0.080901
西安旅游,0.848397,0.419143,20.268047,0.410818,0.025126,0.021694,1.581792,0.166802
*ST 蒙发,4.055065,0.136436,16.182376,0.309061,0.028903,0.039286,-1.567843,0.004832
焦作万方,1.158088,0.548336,71.013535,1.490807,0.182458,0.10673,-3.316427,0.17709
大东海A,0.442973,0.32279,10.09191,0.26228,0.004821,0.007742,-1.454358,-0.02308
湖北金环,0.826288,0.448769,18.102249,0.575061,-0.28433,-0.136187,2.851252,-0.424473
海航投资,2.378791,0.502572,64.093209,0.204912,0.105329,0.056182,1.457278,-0.044719
*ST 济柴,0.932247,0.613095,3.903327,0.622558,0.1327,0.063813,0.200139,0.086923
海螺型材,1.587897,0.324023,5641.396868,1.560778,0.046715,0.048794,0.77937,-0.031885
新华联,2.52856,0.393833,,,0.164481,0.094369,,-0.164726
恒立实业,0.333098,1.372902,2.81346,0.398731,-0.044495,0.064239,-6.364788,-0.081273
吉林敖东,2.105539,0.109864,5.371491,0.160591,0.17232,0.155642,0.231071,0.024662
长安汽车,0.811187,0.498392,33.550544,0.870355,0.002326,0.004391,2.098392,0.070711
如意集团,1.135103,0.813949,38.813265,9.072621,0.033207,0.00291,-7.602998,-0.270954
天茂集团,2.511587,0.235789,18.43483,0.459345,0.004883,0.013244,-36.273293,0.494487
高新发展,0.820525,0.925065,29.859101,0.575657,0.099274,0.023569,7.573769,0.01082
攀钢钒钛,1.031912,0.492897,123.709006,1.108877,-0.030659,-0.00293,-6.43997,0.110325
铜陵有色,0.876974,0.644369,88.627183,1.937091,0.09326,0.060091,-2.161708,-0.023991
顺发恒业,0.6567,0.883389,,,5.858347,0.683145,23.907033,0.361284
三木集团,1.290744,0.801206,26.407365,0.906927,0.017417,0.018116,-1.959744,-0.057397
合金投资,0.785213,0.432581,7.391076,0.367157,-0.025013,0.002469,26.286722,-0.216965
英力特,0.336542,0.806885,75.832373,0.509254,0.10315,0.060945,-3.307917,0.068428
风华高科,1.299768,0.374641,6.540093,0.665052,-0.238927,-0.128767,-30.704538,-0.208138
茂化实华,37.930642,0.018299,188.960757,5.368226,0.01613,0.012242,-9.65255,-0.167195
万方发展,1.080904,0.876831,19.098705,0.553688,0.984409,0.123246,666.734638,0.485451
西王食品,1.477711,0.461998,1.433193,0.407393,0.009868,0.037073,-4.787092,-0.035112
仁和药业,2.264245,0.301966,48.183134,2.001958,0.229584,0.162498,0.66526,0.419207
格力电器,1.013359,0.75164,74.327631,1.375193,0.262395,0.067949,0.161354,0.196367
泰达股份,1.134927,0.614253,12.872836,0.447761,0.115714,0.07111,3.415075,0.124697
金岭矿业,6.155411,0.095427,16.860387,0.753131,0.308838,0.28387,-0.7411,0.230166
金科股份,5.326902,0.042297,,0.000738,0.019491,0.010461,-2.31241,-0.054809
中钨高新,2.478294,0.257527,,2.966971,-0.042253,-0.00359,-9.593834,-0.49831
*ST 中富,0.965142,0.491646,6.427507,0.623712,0.037579,0.058561,-1.810054,-0.047827
长春高新,1.328792,0.630745,5.452747,0.519641,0.089449,0.056546,3.341437,0.023649
索芙特,2.33928,0.268611,2.322534,0.355332,0.005602,0.014552,-3.074998,-0.051227
永安林业,1.862757,0.636301,102.078032,0.391292,0.02055,0.040072,-5.12588,-0.14278
湖北广电,0.486657,0.693155,5.885051,0.61705,0.046693,0.037161,-1.247934,0.027922
经纬纺机,1.775217,0.488921,9.919833,0.616895,0.009041,0.008067,-1.415628,-0.05879
美好集团,6.297158,0.246023,32.763874,0.165628,0.067249,0.05061,-0.75219,1.493193
荣丰控股,1.835913,0.470845,19.357417,2.590305,0.328156,0.175998,-0.702358,-0.338327
金鸿能源,2.863391,0.216291,0.763506,0.135076,0.006531,0.006931,1.647673,-0.310651
盈方微,13.832987,0.067529,30.70323,0.470731,0.024846,0.016692,-1.474415,0.209429
阳光城,1.831994,0.740837,26.682131,0.313268,0.098195,0.032167,7.648618,0.521818
上峰水泥,0.254294,0.9178,4712.269927,0.064254,0.457384,0.045053,-5.297002,0.08401
当代东方,0.740108,0.847363,0.559294,0.182246,-2.341548,-0.336155,-5.060838,-0.375091
智度投资,1.007886,0.628383,2.833084,0.52961,-0.037591,0.015719,-9.311096,-0.039553
恒天海龙,0.636443,0.762939,15.69871,0.472651,-0.127625,0.003385,-10.850865,0.423486
襄阳轴承,1.435619,0.397866,4.697929,0.629821,0.028179,0.027374,2.340201,-0.03457
大连友谊,1.205931,0.808514,302.35894,0.469103,0.167291,0.03666,0.388504,0.03534
山推股份,1.564083,0.395555,12.610345,1.306545,0.177951,0.125444,-0.789776,0.308162
视觉中国,1.854757,0.215224,11.300573,0.095249,-0.266284,-0.200469,-0.011905,-0.214628
东方电子,2.881382,0.203588,2.108817,0.500046,0.023431,0.016591,0.143572,0.059501
远兴能源,0.470467,0.516746,205.640609,0.44827,0.058223,0.048371,-2.507537,0.256651
中山公用,0.464142,0.23875,11.319333,0.142624,0.160356,0.136606,0.243068,0.087603
东北证券,,0.749557,,0.121352,0.181288,,51.490281,-0.316191
华讯方舟,1.148654,0.310124,42.319384,0.536196,-0.140227,-0.086175,0.477996,-0.480844
建新矿业,0.041896,18.505547,,,0.058924,-1.038082,-4.400884,6.122881
宝新能源,2.33885,0.51222,3.630337,0.291892,0.150228,0.094392,0.350299,0.041787
亚太实业,0.735082,0.479524,15.8905,0.112199,-0.15617,-0.059298,2.879299,-0.051335
惠天热电,0.749796,0.633365,3.313888,0.393253,-0.019457,0.007101,-3.302355,0.016874
华泽钴镍,0.141677,0.999478,6.082229,0.167773,17.973975,0.073947,-4.298361,-0.103337
滨海能源,0.646539,0.621802,3.765496,0.498128,0.008092,0.034501,-2.399588,-0.030575
炼石有色,1.278293,0.477829,9.421261,1.234388,-0.151666,-0.069999,2.264551,-0.21217
沈阳化工,0.556024,0.575135,46.589679,0.894342,0.031083,0.027734,-5.240237,0.430398
模塑科技,0.641143,0.73552,13.162175,0.425955,0.075502,0.048097,12.241718,-0.131469
厦门信达,1.176881,0.672052,18.677662,2.59221,0.069672,0.042536,3.393592,0.054283
正虹科技,0.822336,0.486804,58.060594,1.928858,0.04565,0.054145,-1.045491,-0.179595
恒逸石化,0.78016,0.409854,18.489023,0.70581,-0.076755,-0.026869,2.567569,-0.077225
浙江震元,1.344841,0.430919,6.139482,1.241294,0.027729,0.026788,0.16793,0.011607
双环科技,0.615451,0.575134,17.925993,0.652551,0.148401,0.085333,-1.517336,0.262796
大冶特钢,1.099365,0.483085,54.513535,2.207473,0.114354,0.067782,-2.101963,-0.012199
河钢股份,0.986665,0.686328,92.110652,1.38965,0.158402,0.067101,-1.783916,0.16582
天兴仪表,0.958554,0.664793,5.624094,0.921537,0.026582,0.027073,3.109486,0.377075
京蓝科技,1.631445,0.474363,87.155908,0.07433,0.00947,0.028237,-6.74687,-0.00253
锦龙股份,3.348126,0.481147,9.790668,0.077008,0.038203,0.056965,0.506428,-0.114569
丰乐种业,1.149922,0.561636,16.086365,0.762625,0.056648,0.040295,-2.186332,0.079063
中兴商业,0.911708,0.341944,,1.810326,0.070971,0.062006,-0.098453,-0.007817
黑芝麻,0.598218,0.779987,15.473216,0.560267,-0.264598,-0.022963,46.944393,-0.059666
韶钢松山,0.672486,0.669902,6792.325803,1.105738,-0.282497,-0.073644,-51.276999,0.026297
苏宁环球,1.411074,0.689238,43.760274,0.358155,0.286896,0.09085,-1.674497,0.178486
大地传媒,0.114639,1.157073,,,-4.515935,1.069439,-15.810204,-0.696889
新能泰山,0.542298,0.814809,9.639341,0.373732,-0.338928,-0.03315,0.474594,0.197007
西安饮食,0.383234,0.585069,89.263015,0.613034,0.039676,0.046283,-0.747725,0.006766
湖南发展,0.771737,0.581618,12.586956,0.287494,-0.096447,-0.013197,-0.695837,0.019313
美锦能源,1.165526,0.584997,5.872179,1.39531,0.184919,0.087858,-0.640689,0.154039
京东方A,1.328772,0.518059,17.151053,0.597801,-0.148355,-0.057785,1.099116,0.041838
鲁泰A,0.971466,0.466854,29.208031,0.553006,0.136159,0.078106,-0.619193,0.208228
华东科技,0.87869,0.536232,3.609094,0.543254,0.02982,0.048212,-0.485017,-0.116445
国元证券,,0.599736,,0.097804,0.109338,,0.860939,-0.367282
燕京啤酒,1.174095,0.303705,64.04695,0.709846,0.066861,0.057477,-0.964164,0.067228
四川美丰,0.803467,0.532297,121.955518,0.885588,0.089399,0.054945,-1.107076,0.557686
